time_stamp,volt,curr,pf,mul
1365889753115,122.5,0.08053,0.493,4.863408025000001
1365889753160,122.5,0.0836,0.496,5.079536
1365889753205,122.5,0.0836,0.496,5.079536
1365889753258,122.5,0.0836,0.496,5.079536
1365889753303,122.5,0.0836,0.496,5.079536
1365889753348,122.5,0.08187000000000001,0.495,4.964392125
1365889753393,122.5,0.08187000000000001,0.495,4.964392125
1365889753438,122.5,0.08187000000000001,0.495,4.964392125
1365889753483,122.5,0.08187000000000001,0.495,4.964392125
1365889753546,122.5,0.08187000000000001,0.498,4.994479350000001
1365889753591,122.5,0.08187000000000001,0.498,4.994479350000001
1365889753636,122.5,0.08187000000000001,0.498,4.994479350000001
1365889753680,122.5,0.08187000000000001,0.498,4.994479350000001
1365889753746,122.5,0.0828,0.497,5.0410710000000005
1365889753791,122.5,0.0828,0.497,5.0410710000000005
1365889753837,122.5,0.0828,0.497,5.0410710000000005
1365889753883,122.5,0.0828,0.497,5.0410710000000005
1365889753946,122.5,0.08263,0.495,5.010476624999999
1365889753991,122.5,0.08263,0.495,5.010476624999999
1365889754036,122.5,0.08263,0.495,5.010476624999999
1365889754081,122.5,0.08263,0.495,5.010476624999999
1365889754147,122.5,0.08341,0.494,5.04755615
1365889754193,122.5,0.08341,0.494,5.04755615
1365889754238,122.5,0.08341,0.494,5.04755615
1365889754283,122.5,0.08341,0.494,5.04755615
1365889754346,122.5,0.082,0.497,4.9923649999999995
1365889754391,122.5,0.082,0.497,4.9923649999999995
1365889754436,122.5,0.082,0.497,4.9923649999999995
1365889754481,122.5,0.082,0.497,4.9923649999999995
1365889754546,122.4,0.08256000000000001,0.499,5.042566656000001
1365889754591,122.4,0.08256000000000001,0.499,5.042566656000001
1365889754636,122.4,0.08256000000000001,0.499,5.042566656000001
1365889754681,122.4,0.08256000000000001,0.499,5.042566656000001
1365889754746,122.5,0.08293,0.498,5.05914465
1365889754793,122.5,0.08293,0.498,5.05914465
1365889754839,122.5,0.08293,0.498,5.05914465
1365889754885,122.5,0.08293,0.498,5.05914465
1365889754947,122.5,0.08628000000000001,0.499,5.274080700000001
1365889754993,122.5,0.08628000000000001,0.499,5.274080700000001
1365889755039,122.5,0.08628000000000001,0.499,5.274080700000001
1365889755084,122.5,0.08628000000000001,0.499,5.274080700000001
1365889755146,122.5,0.08849,0.503,5.452532575
1365889755190,122.5,0.08849,0.503,5.452532575
1365889755237,122.5,0.08849,0.503,5.452532575
1365889755284,122.5,0.08849,0.503,5.452532575
1365889755346,122.5,0.08785,0.503,5.413097375
1365889755391,122.5,0.08785,0.503,5.413097375
1365889755436,122.5,0.08785,0.503,5.413097375
1365889755482,122.5,0.08785,0.503,5.413097375
1365889755545,122.5,0.08679,0.5,5.3158875000000005
1365889755590,122.5,0.08679,0.5,5.3158875000000005
1365889755635,122.5,0.08679,0.5,5.3158875000000005
1365889755680,122.5,0.08679,0.5,5.3158875000000005
1365889755746,122.5,0.08523,0.496,5.178574800000001
1365889755792,122.5,0.08523,0.496,5.178574800000001
1365889755839,122.5,0.08523,0.496,5.178574800000001
1365889755885,122.5,0.08523,0.496,5.178574800000001
1365889755946,122.5,0.09045,0.503,5.573302875
1365889755992,122.5,0.09045,0.503,5.573302875
1365889756037,122.5,0.09045,0.503,5.573302875
1365889756083,122.5,0.09045,0.503,5.573302875
1365889756145,122.5,0.08948,0.502,5.502572600000001
1365889756190,122.5,0.08948,0.502,5.502572600000001
1365889756236,122.5,0.08948,0.502,5.502572600000001
1365889756282,122.5,0.08948,0.502,5.502572600000001
1365889756346,122.5,0.08521,0.5,5.2191125
1365889756392,122.5,0.08521,0.5,5.2191125
1365889756437,122.5,0.08521,0.5,5.2191125
1365889756483,122.5,0.08521,0.5,5.2191125
1365889756546,122.5,0.08819,0.504,5.4448506000000005
1365889756591,122.5,0.08819,0.504,5.4448506000000005
1365889756636,122.5,0.08819,0.504,5.4448506000000005
1365889756682,122.5,0.08819,0.504,5.4448506000000005
1365889756746,122.5,0.08812,0.499,5.3865553
1365889756792,122.5,0.08812,0.499,5.3865553
1365889756837,122.5,0.08812,0.499,5.3865553
1365889756883,122.5,0.08812,0.499,5.3865553
1365889756946,122.5,0.08959,0.501,5.498362275000001
1365889756992,122.5,0.08959,0.501,5.498362275000001
1365889757037,122.5,0.08959,0.501,5.498362275000001
1365889757082,122.5,0.08959,0.501,5.498362275000001
1365889757146,122.5,0.08947,0.501,5.490997575
1365889757192,122.5,0.08947,0.501,5.490997575
1365889757237,122.5,0.08947,0.501,5.490997575
1365889757283,122.5,0.08947,0.501,5.490997575
1365889757346,122.5,0.08869,0.499,5.4213979750000005
1365889757391,122.5,0.08869,0.499,5.4213979750000005
1365889757437,122.5,0.08869,0.499,5.4213979750000005
1365889757483,122.5,0.08869,0.499,5.4213979750000005
1365889757546,122.5,0.0855,0.497,5.20545375
1365889757591,122.5,0.0855,0.497,5.20545375
1365889757636,122.5,0.0855,0.497,5.20545375
1365889757681,122.5,0.0855,0.497,5.20545375
1365889757745,122.5,0.08878,0.497,5.40514835
1365889757790,122.5,0.08878,0.497,5.40514835
1365889757835,122.5,0.08878,0.497,5.40514835
1365889757881,122.5,0.08878,0.497,5.40514835
1365889757946,122.5,0.08888,0.497,5.4112366000000005
1365889757991,122.5,0.08888,0.497,5.4112366000000005
1365889758036,122.5,0.08888,0.497,5.4112366000000005
1365889758082,122.5,0.08888,0.497,5.4112366000000005
1365889758145,122.5,0.08778,0.502,5.3980311
1365889758192,122.5,0.08778,0.502,5.3980311
1365889758237,122.5,0.08778,0.502,5.3980311
1365889758288,122.5,0.08778,0.502,5.3980311
1365889758346,122.5,0.08461,0.498,5.16163305
1365889758392,122.5,0.08461,0.498,5.16163305
1365889758437,122.5,0.08461,0.498,5.16163305
1365889758482,122.5,0.08461,0.498,5.16163305
1365889758546,122.5,0.08826,0.502,5.4275487
1365889758591,122.5,0.08826,0.502,5.4275487
1365889758636,122.5,0.08826,0.502,5.4275487
1365889758681,122.5,0.08826,0.502,5.4275487
1365889758746,122.5,0.09047,0.504,5.5856178
1365889758792,122.5,0.09047,0.504,5.5856178
1365889758837,122.5,0.09047,0.504,5.5856178
1365889758883,122.5,0.09047,0.504,5.5856178
1365889758946,122.5,0.08774,0.501,5.38482315
1365889758991,122.5,0.08774,0.501,5.38482315
1365889759036,122.5,0.08774,0.501,5.38482315
1365889759081,122.5,0.08774,0.501,5.38482315
1365889759146,122.5,0.08632,0.497,5.2553773999999995
1365889759192,122.5,0.08632,0.497,5.2553773999999995
1365889759238,122.5,0.08632,0.497,5.2553773999999995
1365889759283,122.5,0.08632,0.497,5.2553773999999995
1365889759345,122.5,0.08940000000000001,0.502,5.497653000000001
1365889759391,122.5,0.08940000000000001,0.502,5.497653000000001
1365889759437,122.5,0.08940000000000001,0.502,5.497653000000001
1365889759482,122.5,0.08940000000000001,0.502,5.497653000000001
1365889759546,122.5,0.08878,0.504,5.4812772
1365889759590,122.5,0.08878,0.504,5.4812772
1365889759635,122.5,0.08878,0.504,5.4812772
1365889759681,122.5,0.08878,0.504,5.4812772
1365889759745,122.5,0.08750000000000001,0.5,5.359375000000001
1365889759790,122.5,0.08750000000000001,0.5,5.359375000000001
1365889759835,122.5,0.08750000000000001,0.5,5.359375000000001
1365889759881,122.5,0.08750000000000001,0.5,5.359375000000001
1365889759946,122.5,0.08505,0.496,5.167638
1365889759991,122.5,0.08505,0.496,5.167638
1365889760036,122.5,0.08505,0.496,5.167638
1365889760081,122.5,0.08505,0.496,5.167638
1365889760145,122.5,0.08566,0.499,5.23618165
1365889760191,122.5,0.08566,0.499,5.23618165
1365889760237,122.5,0.08566,0.499,5.23618165
1365889760282,122.5,0.08566,0.499,5.23618165
1365889760346,122.5,0.08769,0.505,5.424722625
1365889760394,122.5,0.08769,0.505,5.424722625
1365889760440,122.5,0.08769,0.505,5.424722625
1365889760485,122.5,0.08769,0.505,5.424722625
1365889760545,122.5,0.08721,0.502,5.3629789500000005
1365889760590,122.5,0.08721,0.502,5.3629789500000005
1365889760635,122.5,0.08721,0.502,5.3629789500000005
1365889760681,122.5,0.08721,0.502,5.3629789500000005
1365889760746,122.5,0.08551,0.496,5.1955876000000005
1365889760792,122.5,0.08551,0.496,5.1955876000000005
1365889760838,122.5,0.08551,0.496,5.1955876000000005
1365889760883,122.5,0.08551,0.496,5.1955876000000005
1365889760945,122.5,0.08632,0.499,5.2765258
1365889760991,122.5,0.08632,0.499,5.2765258
1365889761036,122.5,0.08632,0.499,5.2765258
1365889761082,122.5,0.08632,0.499,5.2765258
1365889761145,122.5,0.08943000000000001,0.502,5.49949785
1365889761191,122.5,0.08943000000000001,0.502,5.49949785
1365889761236,122.5,0.08943000000000001,0.502,5.49949785
1365889761282,122.5,0.08943000000000001,0.502,5.49949785
1365889761346,122.5,0.08497,0.495,5.152368375
1365889761391,122.5,0.08497,0.495,5.152368375
1365889761437,122.5,0.08497,0.495,5.152368375
1365889761483,122.5,0.08497,0.495,5.152368375
1365889761545,122.5,0.08695,0.499,5.315036125
1365889761592,122.5,0.08695,0.499,5.315036125
1365889761637,122.5,0.08695,0.499,5.315036125
1365889761683,122.5,0.08695,0.499,5.315036125
1365889761746,122.5,0.08724,0.501,5.354136899999999
1365889761790,122.5,0.08724,0.501,5.354136899999999
1365889761836,122.5,0.08724,0.501,5.354136899999999
1365889761882,122.5,0.08724,0.501,5.354136899999999
1365889761946,122.5,0.08919,0.503,5.4956648249999995
1365889761992,122.5,0.08919,0.503,5.4956648249999995
1365889762037,122.5,0.08919,0.503,5.4956648249999995
1365889762084,122.5,0.08919,0.503,5.4956648249999995
1365889762146,122.6,0.08686,0.501,5.3351670360000005
1365889762191,122.6,0.08686,0.501,5.3351670360000005
1365889762237,122.6,0.08686,0.501,5.3351670360000005
1365889762284,122.6,0.08686,0.501,5.3351670360000005
1365889762346,122.5,0.08607,0.502,5.292874649999999
1365889762391,122.5,0.08607,0.502,5.292874649999999
1365889762436,122.5,0.08607,0.502,5.292874649999999
1365889762482,122.5,0.08607,0.502,5.292874649999999
1365889762545,122.5,0.08825,0.501,5.416123125
1365889762591,122.5,0.08825,0.501,5.416123125
1365889762636,122.5,0.08825,0.501,5.416123125
1365889762680,122.5,0.08825,0.501,5.416123125
1365889762746,122.5,0.08769,0.501,5.381754525
1365889762792,122.5,0.08769,0.501,5.381754525
1365889762838,122.5,0.08769,0.501,5.381754525
1365889762884,122.5,0.08769,0.501,5.381754525
1365889762945,122.5,0.08839,0.502,5.43554305
1365889762990,122.5,0.08839,0.502,5.43554305
1365889763035,122.5,0.08839,0.502,5.43554305
1365889763080,122.5,0.08839,0.502,5.43554305
1365889763145,122.5,0.09135,0.504,5.639949
1365889763190,122.5,0.09135,0.504,5.639949
1365889763236,122.5,0.09135,0.504,5.639949
1365889763281,122.5,0.09135,0.504,5.639949
1365889763344,122.5,0.08528000000000001,0.498,5.202506400000001
1365889763389,122.5,0.08528000000000001,0.498,5.202506400000001
1365889763434,122.5,0.08528000000000001,0.498,5.202506400000001
1365889763480,122.5,0.08528000000000001,0.498,5.202506400000001
1365889763545,122.4,0.09197,0.507,5.707363896
1365889763591,122.4,0.09197,0.507,5.707363896
1365889763637,122.4,0.09197,0.507,5.707363896
1365889763682,122.4,0.09197,0.507,5.707363896
1365889763745,122.5,0.09137,0.507,5.674762275000001
1365889763790,122.5,0.09137,0.507,5.674762275000001
1365889763834,122.5,0.09137,0.507,5.674762275000001
1365889763881,122.5,0.09137,0.507,5.674762275000001
1365889763945,122.5,0.0889,0.505,5.49957625
1365889763990,122.5,0.0889,0.505,5.49957625
1365889764036,122.5,0.0889,0.505,5.49957625
1365889764082,122.5,0.0889,0.505,5.49957625
1365889764146,122.5,0.0891,0.504,5.501034
1365889764191,122.5,0.0891,0.504,5.501034
1365889764236,122.5,0.0891,0.504,5.501034
1365889764282,122.5,0.0891,0.504,5.501034
1365889764344,122.5,0.08986,0.507,5.58097995
1365889764390,122.5,0.08986,0.507,5.58097995
1365889764435,122.5,0.08986,0.507,5.58097995
1365889764480,122.5,0.08986,0.507,5.58097995
1365889764545,122.5,0.09233,0.508,5.745695899999999
1365889764590,122.5,0.09233,0.508,5.745695899999999
1365889764635,122.5,0.09233,0.508,5.745695899999999
1365889764680,122.5,0.09233,0.508,5.745695899999999
1365889764745,122.5,0.09115000000000001,0.507,5.661098625000001
1365889764791,122.5,0.09115000000000001,0.507,5.661098625000001
1365889764836,122.5,0.09115000000000001,0.507,5.661098625000001
1365889764881,122.5,0.09115000000000001,0.507,5.661098625000001
1365889764945,122.5,0.08882,0.502,5.4619859
1365889764990,122.5,0.08882,0.502,5.4619859
1365889765036,122.5,0.08882,0.502,5.4619859
1365889765081,122.5,0.08882,0.502,5.4619859
1365889765145,122.5,0.09037,0.505,5.590514125
1365889765190,122.5,0.09037,0.505,5.590514125
1365889765236,122.5,0.09037,0.505,5.590514125
1365889765282,122.5,0.09037,0.505,5.590514125
1365889765344,122.5,0.09174,0.505,5.67526575
1365889765389,122.5,0.09174,0.505,5.67526575
1365889765434,122.5,0.09174,0.505,5.67526575
1365889765479,122.5,0.09174,0.505,5.67526575
1365889765545,122.5,0.08944,0.505,5.5329820000000005
1365889765592,122.5,0.08944,0.505,5.5329820000000005
1365889765637,122.5,0.08944,0.505,5.5329820000000005
1365889765682,122.5,0.08944,0.505,5.5329820000000005
1365889765745,122.5,0.08774,0.505,5.42781575
1365889765790,122.5,0.08774,0.505,5.42781575
1365889765835,122.5,0.08774,0.505,5.42781575
1365889765881,122.5,0.08774,0.505,5.42781575
1365889765944,122.5,0.08818000000000001,0.505,5.455035250000001
