time_stamp,volt,curr,pf,mul
1365889748311,122.5,0.08488,0.503,5.2300934
1365889748357,122.5,0.08488,0.503,5.2300934
1365889748407,122.5,0.08006,0.496,4.864445600000001
1365889748452,122.5,0.08006,0.496,4.864445600000001
1365889748497,122.5,0.08006,0.496,4.864445600000001
1365889748542,122.5,0.08006,0.496,4.864445600000001
1365889748607,122.5,0.08011,0.499,4.896924025000001
1365889748652,122.5,0.08011,0.499,4.896924025000001
1365889748697,122.5,0.08011,0.499,4.896924025000001
1365889748742,122.5,0.08011,0.499,4.896924025000001
1365889748807,122.5,0.08123999999999999,0.499,4.965998099999999
1365889748852,122.5,0.08123999999999999,0.499,4.965998099999999
1365889748898,122.5,0.08123999999999999,0.499,4.965998099999999
1365889748943,122.5,0.08123999999999999,0.499,4.965998099999999
1365889749006,122.5,0.08375,0.502,5.15020625
1365889749052,122.5,0.08375,0.502,5.15020625
1365889749097,122.5,0.08375,0.502,5.15020625
1365889749143,122.5,0.08375,0.502,5.15020625
1365889749206,122.5,0.08209000000000001,0.499,5.017956475000001
1365889749251,122.5,0.08209000000000001,0.499,5.017956475000001
1365889749296,122.5,0.08209000000000001,0.499,5.017956475000001
1365889749341,122.5,0.08209000000000001,0.499,5.017956475000001
1365889749406,122.5,0.08245999999999999,0.496,5.010269599999999
1365889749451,122.5,0.08245999999999999,0.496,5.010269599999999
1365889749497,122.5,0.08245999999999999,0.496,5.010269599999999
1365889749543,122.5,0.08245999999999999,0.496,5.010269599999999
1365889749606,122.5,0.08228,0.498,5.0194914
1365889749651,122.5,0.08228,0.498,5.0194914
1365889749696,122.5,0.08228,0.498,5.0194914
1365889749741,122.5,0.08228,0.498,5.0194914
1365889749807,122.5,0.08377,0.496,5.0898652
1365889749852,122.5,0.08377,0.496,5.0898652
1365889749898,122.5,0.08377,0.496,5.0898652
1365889749944,122.5,0.08377,0.496,5.0898652
1365889750006,122.6,0.08314,0.494,5.035324216
1365889750051,122.6,0.08314,0.494,5.035324216
1365889750096,122.6,0.08314,0.494,5.035324216
1365889750141,122.6,0.08314,0.494,5.035324216
1365889750207,122.5,0.08295999999999999,0.494,5.0203244
1365889750252,122.5,0.08295999999999999,0.494,5.0203244
1365889750296,122.5,0.08295999999999999,0.494,5.0203244
1365889750341,122.5,0.08295999999999999,0.494,5.0203244
1365889750406,122.5,0.08319,0.496,5.0546244
1365889750451,122.5,0.08319,0.496,5.0546244
1365889750497,122.5,0.08319,0.496,5.0546244
1365889750542,122.5,0.08319,0.496,5.0546244
1365889750607,122.5,0.08295000000000001,0.495,5.0298806250000005
1365889750653,122.5,0.08295000000000001,0.495,5.0298806250000005
1365889750698,122.5,0.08295000000000001,0.495,5.0298806250000005
1365889750742,122.5,0.08295000000000001,0.495,5.0298806250000005
1365889750807,122.5,0.08259999999999999,0.498,5.039013
1365889750853,122.5,0.08259999999999999,0.498,5.039013
1365889750899,122.5,0.08259999999999999,0.498,5.039013
1365889750946,122.5,0.08259999999999999,0.498,5.039013
1365889751006,122.6,0.08517000000000001,0.502,5.241804684000001
1365889751051,122.6,0.08517000000000001,0.502,5.241804684000001
1365889751096,122.6,0.08517000000000001,0.502,5.241804684000001
1365889751141,122.6,0.08517000000000001,0.502,5.241804684000001
1365889751207,122.6,0.08421,0.497,5.131100561999999
1365889751252,122.6,0.08421,0.497,5.131100561999999
1365889751297,122.6,0.08421,0.497,5.131100561999999
1365889751342,122.6,0.08421,0.497,5.131100561999999
1365889751407,122.5,0.08548,0.5,5.23565
1365889751453,122.5,0.08548,0.5,5.23565
1365889751499,122.5,0.08548,0.5,5.23565
1365889751545,122.5,0.08548,0.5,5.23565
1365889751606,122.5,0.08917,0.512,5.592742400000001
1365889751653,122.5,0.08917,0.512,5.592742400000001
1365889751699,122.5,0.08917,0.512,5.592742400000001
1365889751745,122.5,0.08917,0.512,5.592742400000001
1365889751807,122.5,0.08925,0.508,5.554027499999999
1365889751852,122.5,0.08925,0.508,5.554027499999999
1365889751898,122.5,0.08925,0.508,5.554027499999999
1365889751943,122.5,0.08925,0.508,5.554027499999999
1365889752007,122.6,0.09085,0.512,5.7027635199999995
1365889752053,122.6,0.09085,0.512,5.7027635199999995
1365889752099,122.6,0.09085,0.512,5.7027635199999995
1365889752145,122.6,0.09085,0.512,5.7027635199999995
1365889752207,122.5,0.08995,0.511,5.630645125
1365889752252,122.5,0.08995,0.511,5.630645125
1365889752298,122.5,0.08995,0.511,5.630645125
1365889752343,122.5,0.08995,0.511,5.630645125
1365889752406,122.5,0.08737,0.506,5.415629450000001
1365889752451,122.5,0.08737,0.506,5.415629450000001
1365889752496,122.5,0.08737,0.506,5.415629450000001
1365889752542,122.5,0.08737,0.506,5.415629450000001
1365889752606,122.5,0.08558,0.508,5.325643400000001
1365889752651,122.5,0.08558,0.508,5.325643400000001
1365889752697,122.5,0.08558,0.508,5.325643400000001
1365889752742,122.5,0.08558,0.508,5.325643400000001
1365889752806,122.5,0.08963,0.511,5.610613925
1365889752852,122.5,0.08963,0.511,5.610613925
1365889752897,122.5,0.08963,0.511,5.610613925
1365889752942,122.5,0.08963,0.511,5.610613925
1365889753007,122.6,0.08959,0.513,5.634655542
1365889753052,122.6,0.08959,0.513,5.634655542
1365889753097,122.6,0.08959,0.513,5.634655542
1365889753141,122.6,0.08959,0.513,5.634655542
1365889753206,122.5,0.08696,0.505,5.379563
1365889753252,122.5,0.08696,0.505,5.379563
1365889753297,122.5,0.08696,0.505,5.379563
1365889753342,122.5,0.08696,0.505,5.379563
1365889753406,122.5,0.09077,0.51,5.67085575
1365889753451,122.5,0.09077,0.51,5.67085575
1365889753497,122.5,0.09077,0.51,5.67085575
1365889753542,122.5,0.09077,0.51,5.67085575
1365889753607,122.5,0.08425,0.499,5.149991875
1365889753653,122.5,0.08425,0.499,5.149991875
1365889753697,122.5,0.08425,0.499,5.149991875
1365889753742,122.5,0.08425,0.499,5.149991875
1365889753806,122.5,0.08422,0.498,5.1378411
1365889753851,122.5,0.08422,0.498,5.1378411
1365889753897,122.5,0.08422,0.498,5.1378411
1365889753942,122.5,0.08422,0.498,5.1378411
1365889754006,122.6,0.08481000000000001,0.498,5.178057588000001
1365889754051,122.6,0.08481000000000001,0.498,5.178057588000001
1365889754097,122.6,0.08481000000000001,0.498,5.178057588000001
1365889754142,122.6,0.08481000000000001,0.498,5.178057588000001
1365889754206,122.5,0.08648,0.499,5.2863062
1365889754252,122.5,0.08648,0.499,5.2863062
1365889754298,122.5,0.08648,0.499,5.2863062
1365889754344,122.5,0.08648,0.499,5.2863062
1365889754406,122.5,0.09065000000000001,0.509,5.652254125000001
1365889754451,122.5,0.09065000000000001,0.509,5.652254125000001
1365889754496,122.5,0.09065000000000001,0.509,5.652254125000001
1365889754542,122.5,0.09065000000000001,0.509,5.652254125000001
1365889754606,122.5,0.08341,0.502,5.12929795
1365889754652,122.5,0.08341,0.502,5.12929795
1365889754697,122.5,0.08341,0.502,5.12929795
1365889754742,122.5,0.08341,0.502,5.12929795
1365889754806,122.5,0.0828,0.501,5.081643000000001
1365889754851,122.5,0.0828,0.501,5.081643000000001
1365889754898,122.5,0.0828,0.501,5.081643000000001
1365889754944,122.5,0.0828,0.501,5.081643000000001
1365889755007,122.6,0.08767,0.507,5.449409394
1365889755052,122.6,0.08767,0.507,5.449409394
1365889755098,122.6,0.08767,0.507,5.449409394
1365889755144,122.6,0.08767,0.507,5.449409394
1365889755207,122.6,0.09007,0.508,5.6096316559999995
1365889755252,122.6,0.09007,0.508,5.6096316559999995
1365889755298,122.6,0.09007,0.508,5.6096316559999995
1365889755344,122.6,0.09007,0.508,5.6096316559999995
1365889755407,122.5,0.08882,0.509,5.53814905
1365889755452,122.5,0.08882,0.509,5.53814905
1365889755497,122.5,0.08882,0.509,5.53814905
1365889755542,122.5,0.08882,0.509,5.53814905
1365889755606,122.5,0.08829000000000001,0.507,5.483471175000001
1365889755652,122.5,0.08829000000000001,0.507,5.483471175000001
