time_stamp,volt,curr,pf,mul
1365889748874,122.2,0.08234000000000001,0.488,4.910230624
1365889748919,122.2,0.08234000000000001,0.488,4.910230624
1365889748965,122.2,0.08263,0.49,4.94771914
1365889749011,122.2,0.08263,0.49,4.94771914
1365889749056,122.2,0.08263,0.49,4.94771914
1365889749102,122.2,0.08263,0.49,4.94771914
1365889749151,122.2,0.08467000000000001,0.492,5.090563608000001
1365889749196,122.2,0.08467000000000001,0.492,5.090563608000001
1365889749241,122.2,0.08467000000000001,0.492,5.090563608000001
1365889749286,122.2,0.08467000000000001,0.492,5.090563608000001
1365889749350,122.2,0.08308,0.49,4.97466424
1365889749396,122.2,0.08308,0.49,4.97466424
1365889749441,122.2,0.08308,0.49,4.97466424
1365889749487,122.2,0.08308,0.49,4.97466424
1365889749551,122.2,0.08626,0.493,5.196699196
1365889749597,122.2,0.08626,0.493,5.196699196
1365889749642,122.2,0.08626,0.493,5.196699196
1365889749687,122.2,0.08626,0.493,5.196699196
1365889749751,122.2,0.08444,0.491,5.066416888
1365889749796,122.2,0.08444,0.491,5.066416888
1365889749842,122.2,0.08444,0.491,5.066416888
1365889749888,122.2,0.08444,0.491,5.066416888
1365889749950,122.2,0.08412,0.495,5.08833468
1365889749995,122.2,0.08412,0.495,5.08833468
1365889750040,122.2,0.08412,0.495,5.08833468
1365889750085,122.2,0.08412,0.495,5.08833468
1365889750151,122.2,0.08289,0.494,5.0038040520000004
1365889750196,122.2,0.08289,0.494,5.0038040520000004
1365889750242,122.2,0.08289,0.494,5.0038040520000004
1365889750288,122.2,0.08289,0.494,5.0038040520000004
1365889750351,122.2,0.08417000000000001,0.496,5.101644704
1365889750396,122.2,0.08417000000000001,0.496,5.101644704
1365889750441,122.2,0.08417000000000001,0.496,5.101644704
1365889750486,122.2,0.08417000000000001,0.496,5.101644704
1365889750551,122.2,0.08381999999999999,0.493,5.049702372
1365889750596,122.2,0.08381999999999999,0.493,5.049702372
1365889750644,122.2,0.08381999999999999,0.493,5.049702372
