time_stamp,volt,curr,pf,mul
1365889754033,123.5,0.08220000000000001,0.473,4.8017541
1365889754079,123.5,0.08220000000000001,0.473,4.8017541
1365889754127,123.5,0.08220000000000001,0.473,4.8017541
1365889754176,123.5,0.09469,0.497,5.812024855
1365889754221,123.5,0.09469,0.497,5.812024855
1365889754267,123.5,0.09469,0.497,5.812024855
1365889754317,123.5,0.09469,0.497,5.812024855
1365889754376,123.5,0.09368000000000001,0.499,5.773170520000001
1365889754421,123.5,0.09368000000000001,0.499,5.773170520000001
1365889754467,123.5,0.09368000000000001,0.499,5.773170520000001
1365889754515,123.5,0.09368000000000001,0.499,5.773170520000001
1365889754577,123.5,0.09156,0.499,5.64252234
1365889754622,123.5,0.09156,0.499,5.64252234
1365889754667,123.5,0.09156,0.499,5.64252234
1365889754714,123.5,0.09156,0.499,5.64252234
1365889754776,123.5,0.08994,0.491,5.45382669
1365889754820,123.5,0.08994,0.491,5.45382669
1365889754866,123.5,0.08994,0.491,5.45382669
1365889754912,123.5,0.08994,0.491,5.45382669
1365889754976,123.5,0.08611,0.482,5.12586997
1365889755021,123.5,0.08611,0.482,5.12586997
1365889755066,123.5,0.08611,0.482,5.12586997
1365889755111,123.5,0.08611,0.482,5.12586997
1365889755176,123.6,0.08587,0.482,5.115722423999999
1365889755222,123.6,0.08587,0.482,5.115722423999999
1365889755268,123.6,0.08587,0.482,5.115722423999999
1365889755314,123.6,0.08587,0.482,5.115722423999999
1365889755376,123.6,0.09131,0.491,5.541384756
1365889755421,123.6,0.09131,0.491,5.541384756
1365889755466,123.6,0.09131,0.491,5.541384756
1365889755511,123.6,0.09131,0.491,5.541384756
1365889755576,123.6,0.08818000000000001,0.485,5.2860382800000005
1365889755621,123.6,0.08818000000000001,0.485,5.2860382800000005
1365889755665,123.6,0.08818000000000001,0.485,5.2860382800000005
1365889755711,123.6,0.08818000000000001,0.485,5.2860382800000005
1365889755776,123.6,0.0857,0.477,5.052632039999999
1365889755821,123.6,0.0857,0.477,5.052632039999999
1365889755866,123.6,0.0857,0.477,5.052632039999999
1365889755911,123.6,0.0857,0.477,5.052632039999999
1365889755976,123.5,0.08798,0.482,5.23718546
1365889756021,123.5,0.08798,0.482,5.23718546
1365889756066,123.5,0.08798,0.482,5.23718546
1365889756112,123.5,0.08798,0.482,5.23718546
1365889756175,123.6,0.08768000000000001,0.485,5.2560652800000005
1365889756221,123.6,0.08768000000000001,0.485,5.2560652800000005
1365889756267,123.6,0.08768000000000001,0.485,5.2560652800000005
1365889756312,123.6,0.08768000000000001,0.485,5.2560652800000005
1365889756376,123.6,0.08844,0.486,5.312555424
1365889756421,123.6,0.08844,0.486,5.312555424
1365889756466,123.6,0.08844,0.486,5.312555424
1365889756510,123.6,0.08844,0.486,5.312555424
1365889756575,123.6,0.08854000000000001,0.483,5.285731752
1365889756620,123.6,0.08854000000000001,0.483,5.285731752
1365889756665,123.6,0.08854000000000001,0.483,5.285731752
1365889756710,123.6,0.08854000000000001,0.483,5.285731752
1365889756776,123.5,0.08779,0.477,5.171665005
1365889756822,123.5,0.08779,0.477,5.171665005
1365889756867,123.5,0.08779,0.477,5.171665005
1365889756913,123.5,0.08779,0.477,5.171665005
1365889756975,123.5,0.08877,0.484,5.30613798
1365889757020,123.5,0.08877,0.484,5.30613798
1365889757066,123.5,0.08877,0.484,5.30613798
1365889757112,123.5,0.08877,0.484,5.30613798
1365889757176,123.5,0.09062,0.486,5.43910302
1365889757221,123.5,0.09062,0.486,5.43910302
1365889757266,123.5,0.09062,0.486,5.43910302
1365889757311,123.5,0.09062,0.486,5.43910302
1365889757376,123.6,0.08735,0.482,5.20389372
1365889757422,123.6,0.08735,0.482,5.20389372
1365889757467,123.6,0.08735,0.482,5.20389372
1365889757513,123.6,0.08735,0.482,5.20389372
1365889757576,123.5,0.08894,0.491,5.39318819
1365889757622,123.5,0.08894,0.491,5.39318819
1365889757666,123.5,0.08894,0.491,5.39318819
1365889757713,123.5,0.08894,0.491,5.39318819
1365889757776,123.5,0.08866,0.486,5.32146186
1365889757821,123.5,0.08866,0.486,5.32146186
1365889757866,123.5,0.08866,0.486,5.32146186
1365889757912,123.5,0.08866,0.486,5.32146186
1365889757975,123.5,0.08816,0.484,5.26967584
1365889758021,123.5,0.08816,0.484,5.26967584
1365889758067,123.5,0.08816,0.484,5.26967584
1365889758113,123.5,0.08816,0.484,5.26967584
1365889758175,123.5,0.08724,0.491,5.290102739999999
1365889758220,123.5,0.08724,0.491,5.290102739999999
1365889758266,123.5,0.08724,0.491,5.290102739999999
1365889758313,123.5,0.08724,0.491,5.290102739999999
1365889758376,123.5,0.08724,0.491,5.290102739999999
1365889758421,123.5,0.08724,0.491,5.290102739999999
1365889758467,123.5,0.08724,0.491,5.290102739999999
1365889758512,123.5,0.08724,0.491,5.290102739999999
1365889758575,123.5,0.08949,0.493,5.448643395
1365889758620,123.5,0.08949,0.493,5.448643395
1365889758665,123.5,0.08949,0.493,5.448643395
1365889758710,123.5,0.08949,0.493,5.448643395
1365889758776,123.5,0.08644,0.484,5.16686456
1365889758822,123.5,0.08644,0.484,5.16686456
1365889758868,123.5,0.08644,0.484,5.16686456
1365889758912,123.5,0.08644,0.484,5.16686456
1365889758980,123.5,0.0897,0.486,5.383883699999999
1365889759026,123.5,0.0897,0.486,5.383883699999999
1365889759072,123.5,0.0897,0.486,5.383883699999999
1365889759118,123.5,0.0897,0.486,5.383883699999999
1365889759175,123.5,0.08834,0.487,5.31316513
1365889759220,123.5,0.08834,0.487,5.31316513
1365889759265,123.5,0.08834,0.487,5.31316513
1365889759312,123.5,0.08834,0.487,5.31316513
1365889759380,123.5,0.0895,0.485,5.36082625
1365889759425,123.5,0.0895,0.485,5.36082625
1365889759471,123.5,0.0895,0.485,5.36082625
1365889759516,123.5,0.0895,0.485,5.36082625
1365889759576,123.5,0.09163,0.489,5.533673145
1365889759621,123.5,0.09163,0.489,5.533673145
1365889759666,123.5,0.09163,0.489,5.533673145
1365889759714,123.5,0.09163,0.489,5.533673145
1365889759776,123.5,0.09056,0.487,5.44668592
1365889759821,123.5,0.09056,0.487,5.44668592
1365889759867,123.5,0.09056,0.487,5.44668592
1365889759913,123.5,0.09056,0.487,5.44668592
1365889759975,123.5,0.08747,0.481,5.196024145
1365889760021,123.5,0.08747,0.481,5.196024145
1365889760066,123.5,0.08747,0.481,5.196024145
1365889760111,123.5,0.08747,0.481,5.196024145
1365889760176,123.5,0.08926,0.489,5.39054529
1365889760221,123.5,0.08926,0.489,5.39054529
1365889760267,123.5,0.08926,0.489,5.39054529
1365889760313,123.5,0.08926,0.489,5.39054529
1365889760375,123.5,0.08914,0.488,5.37228952
