time_stamp,volt,curr,pf,mul
1365889744262,121.8,0.05497,0.546,3.655658916
1365889744308,121.8,0.05497,0.546,3.655658916
1365889744358,121.8,0.05497,0.546,3.655658916
1365889744404,121.8,0.05961,0.541,3.927929418
1365889744459,121.8,0.05961,0.541,3.927929418
1365889744505,121.8,0.05961,0.541,3.927929418
1365889744551,121.8,0.05961,0.541,3.927929418
1365889744604,121.8,0.05901,0.543,3.9027679740000005
1365889744654,121.8,0.05901,0.543,3.9027679740000005
1365889744700,121.8,0.05901,0.543,3.9027679740000005
1365889744746,121.8,0.05901,0.543,3.9027679740000005
1365889744803,121.9,0.06545000000000001,0.536,4.276398280000001
1365889744848,121.9,0.06545000000000001,0.536,4.276398280000001
1365889744893,121.9,0.06545000000000001,0.536,4.276398280000001
1365889744938,121.9,0.06545000000000001,0.536,4.276398280000001
1365889745003,121.8,0.06866,0.537,4.490817156
1365889745049,121.8,0.06866,0.537,4.490817156
1365889745094,121.8,0.06866,0.537,4.490817156
1365889745140,121.8,0.06866,0.537,4.490817156
1365889745204,121.8,0.06877,0.537,4.498011881999999
1365889745250,121.8,0.06877,0.537,4.498011881999999
1365889745295,121.8,0.06877,0.537,4.498011881999999
1365889745341,121.8,0.06877,0.537,4.498011881999999
1365889745404,121.8,0.06878000000000001,0.537,4.498665948
1365889745451,121.8,0.06878000000000001,0.537,4.498665948
1365889745497,121.8,0.06878000000000001,0.537,4.498665948
1365889745542,121.8,0.06878000000000001,0.537,4.498665948
1365889745604,121.9,0.06065,0.538,3.9775604300000005
1365889745650,121.9,0.06065,0.538,3.9775604300000005
1365889745695,121.9,0.06065,0.538,3.9775604300000005
1365889745740,121.9,0.06065,0.538,3.9775604300000005
1365889745804,121.8,0.05668,0.544,3.755571456
1365889745850,121.8,0.05668,0.544,3.755571456
1365889745896,121.8,0.05668,0.544,3.755571456
1365889745942,121.8,0.05668,0.544,3.755571456
1365889746004,121.8,0.05718,0.541,3.7678074840000004
1365889746051,121.8,0.05718,0.541,3.7678074840000004
1365889746097,121.8,0.05718,0.541,3.7678074840000004
1365889746144,121.8,0.05718,0.541,3.7678074840000004
1365889746203,121.8,0.05697,0.542,3.760908732
1365889746249,121.8,0.05697,0.542,3.760908732
1365889746296,121.8,0.05697,0.542,3.760908732
1365889746342,121.8,0.05697,0.542,3.760908732
1365889746404,121.8,0.05687,0.542,3.7543071720000003
1365889746450,121.8,0.05687,0.542,3.7543071720000003
1365889746495,121.8,0.05687,0.542,3.7543071720000003
1365889746540,121.8,0.05687,0.542,3.7543071720000003
1365889746603,121.8,0.057,0.543,3.7698318
1365889746649,121.8,0.057,0.543,3.7698318
1365889746694,121.8,0.057,0.543,3.7698318
1365889746739,121.8,0.057,0.543,3.7698318
1365889746804,121.8,0.05684,0.541,3.745403592
1365889746850,121.8,0.05684,0.541,3.745403592
1365889746895,121.8,0.05684,0.541,3.745403592
1365889746941,121.8,0.05684,0.541,3.745403592
1365889747005,121.8,0.05707,0.542,3.7675102920000003
1365889747051,121.8,0.05707,0.542,3.7675102920000003
1365889747096,121.8,0.05707,0.542,3.7675102920000003
1365889747142,121.8,0.05707,0.542,3.7675102920000003
1365889747203,121.8,0.057210000000000004,0.541,3.7697842980000003
1365889747249,121.8,0.057210000000000004,0.541,3.7697842980000003
1365889747294,121.8,0.057210000000000004,0.541,3.7697842980000003
1365889747339,121.8,0.057210000000000004,0.541,3.7697842980000003
1365889747403,121.8,0.055560000000000005,0.545,3.6881283600000003
1365889747449,121.8,0.055560000000000005,0.545,3.6881283600000003
1365889747494,121.8,0.055560000000000005,0.545,3.6881283600000003
1365889747539,121.8,0.055560000000000005,0.545,3.6881283600000003
1365889747604,121.8,0.05695,0.541,3.7526519100000004
1365889747650,121.8,0.05695,0.541,3.7526519100000004
1365889747695,121.8,0.05695,0.541,3.7526519100000004
1365889747741,121.8,0.05695,0.541,3.7526519100000004
1365889747803,121.8,0.05711,0.542,3.7701509160000004
1365889747849,121.8,0.05711,0.542,3.7701509160000004
1365889747895,121.8,0.05711,0.542,3.7701509160000004
1365889747940,121.8,0.05711,0.542,3.7701509160000004
1365889748005,121.8,0.05668,0.542,3.741764208
1365889748051,121.8,0.05668,0.542,3.741764208
1365889748097,121.8,0.05668,0.542,3.741764208
1365889748142,121.8,0.05668,0.542,3.741764208
1365889748204,121.8,0.056659999999999995,0.542,3.740443896
1365889748252,121.8,0.056659999999999995,0.542,3.740443896
1365889748297,121.8,0.056659999999999995,0.542,3.740443896
1365889748343,121.8,0.056659999999999995,0.542,3.740443896
1365889748403,121.8,0.056780000000000004,0.544,3.7621973760000005
1365889748450,121.8,0.056780000000000004,0.544,3.7621973760000005
1365889748495,121.8,0.056780000000000004,0.544,3.7621973760000005
1365889748541,121.8,0.056780000000000004,0.544,3.7621973760000005
1365889748604,121.8,0.05662,0.543,3.744699588
1365889748650,121.8,0.05662,0.543,3.744699588
1365889748695,121.8,0.05662,0.543,3.744699588
1365889748741,121.8,0.05662,0.543,3.744699588
1365889748804,121.8,0.056369999999999996,0.545,3.74189697
1365889748850,121.8,0.056369999999999996,0.545,3.74189697
1365889748896,121.8,0.056369999999999996,0.545,3.74189697
1365889748942,121.8,0.056369999999999996,0.545,3.74189697
1365889749003,121.8,0.05662,0.543,3.744699588
1365889749050,121.8,0.05662,0.543,3.744699588
1365889749097,121.8,0.05662,0.543,3.744699588
1365889749144,121.8,0.05662,0.543,3.744699588
1365889749204,121.8,0.057159999999999996,0.543,3.780413784
1365889749250,121.8,0.057159999999999996,0.543,3.780413784
1365889749296,121.8,0.057159999999999996,0.543,3.780413784
1365889749342,121.8,0.057159999999999996,0.543,3.780413784
1365889749403,121.8,0.05847,0.542,3.8599321320000004
1365889749449,121.8,0.05847,0.542,3.8599321320000004
1365889749495,121.8,0.05847,0.542,3.8599321320000004
1365889749541,121.8,0.05847,0.542,3.8599321320000004
1365889749603,121.9,0.05669,0.543,3.752407473
1365889749649,121.9,0.05669,0.543,3.752407473
1365889749695,121.9,0.05669,0.543,3.752407473
1365889749741,121.9,0.05669,0.543,3.752407473
1365889749804,121.9,0.05326,0.545,3.538354730000001
1365889749850,121.9,0.05326,0.545,3.538354730000001
1365889749896,121.9,0.05326,0.545,3.538354730000001
1365889749942,121.9,0.05326,0.545,3.538354730000001
1365889750004,121.8,0.05329,0.544,3.530952768
1365889750050,121.8,0.05329,0.544,3.530952768
1365889750094,121.8,0.05329,0.544,3.530952768
1365889750139,121.8,0.05329,0.544,3.530952768
1365889750204,121.9,0.05357,0.544,3.5524195520000004
1365889750250,121.9,0.05357,0.544,3.5524195520000004
1365889750295,121.9,0.05357,0.544,3.5524195520000004
1365889750340,121.9,0.05357,0.544,3.5524195520000004
1365889750404,121.9,0.05405,0.544,3.5842500800000003
1365889750450,121.9,0.05405,0.544,3.5842500800000003
1365889750496,121.9,0.05405,0.544,3.5842500800000003
1365889750542,121.9,0.05405,0.544,3.5842500800000003
1365889750603,121.9,0.05396,0.543,3.5717041320000007
1365889750649,121.9,0.05396,0.543,3.5717041320000007
1365889750695,121.9,0.05396,0.543,3.5717041320000007
1365889750741,121.9,0.05396,0.543,3.5717041320000007
1365889750805,121.9,0.053880000000000004,0.542,3.559840824000001
1365889750851,121.9,0.053880000000000004,0.542,3.559840824000001
1365889750897,121.9,0.053880000000000004,0.542,3.559840824000001
1365889750943,121.9,0.053880000000000004,0.542,3.559840824000001
1365889751003,121.8,0.05394,0.543,3.5674513560000003
1365889751050,121.8,0.05394,0.543,3.5674513560000003
1365889751095,121.8,0.05394,0.543,3.5674513560000003
1365889751140,121.8,0.05394,0.543,3.5674513560000003
1365889751203,121.8,0.053590000000000006,0.545,3.5573577900000006
1365889751250,121.8,0.053590000000000006,0.545,3.5573577900000006
1365889751296,121.8,0.053590000000000006,0.545,3.5573577900000006
1365889751341,121.8,0.053590000000000006,0.545,3.5573577900000006
1365889751404,121.8,0.05311,0.545,3.52549491
1365889751451,121.8,0.05311,0.545,3.52549491
1365889751497,121.8,0.05311,0.545,3.52549491
1365889751542,121.8,0.05311,0.545,3.52549491
1365889751602,121.8,0.0523,0.547,3.4844665800000003
1365889751648,121.8,0.0523,0.547,3.4844665800000003
1365889751693,121.8,0.0523,0.547,3.4844665800000003
1365889751739,121.8,0.0523,0.547,3.4844665800000003
1365889751803,121.8,0.05341,0.545,3.5454092100000003
1365889751849,121.8,0.05341,0.545,3.5454092100000003
1365889751895,121.8,0.05341,0.545,3.5454092100000003
1365889751940,121.8,0.05341,0.545,3.5454092100000003
1365889752003,121.8,0.053130000000000004,0.546,3.533293764
1365889752049,121.8,0.053130000000000004,0.546,3.533293764
1365889752094,121.8,0.053130000000000004,0.546,3.533293764
1365889752139,121.8,0.053130000000000004,0.546,3.533293764
1365889752204,121.8,0.05353,0.546,3.559894884
1365889752250,121.8,0.05353,0.546,3.559894884
1365889752296,121.8,0.05353,0.546,3.559894884
1365889752342,121.8,0.05353,0.546,3.559894884
1365889752403,121.8,0.05332,0.545,3.53943492
1365889752449,121.8,0.05332,0.545,3.53943492
1365889752495,121.8,0.05332,0.545,3.53943492
1365889752541,121.8,0.05332,0.545,3.53943492
1365889752604,121.8,0.05394,0.543,3.5674513560000003
1365889752650,121.8,0.05394,0.543,3.5674513560000003
1365889752696,121.8,0.05394,0.543,3.5674513560000003
1365889752742,121.8,0.05394,0.543,3.5674513560000003
1365889752804,121.8,0.05437,0.544,3.602512704
1365889752850,121.8,0.05437,0.544,3.602512704
1365889752896,121.8,0.05437,0.544,3.602512704
1365889752942,121.8,0.05437,0.544,3.602512704
1365889753003,121.9,0.05522,0.543,3.655105674
1365889753049,121.9,0.05522,0.543,3.655105674
1365889753095,121.9,0.05522,0.543,3.655105674
1365889753141,121.9,0.05522,0.543,3.655105674
1365889753202,121.8,0.056060000000000006,0.544,3.7144907520000006
1365889753248,121.8,0.056060000000000006,0.544,3.7144907520000006
1365889753293,121.8,0.056060000000000006,0.544,3.7144907520000006
1365889753342,121.8,0.056060000000000006,0.544,3.7144907520000006
1365889753403,121.8,0.05632,0.543,3.7248583680000005
1365889753449,121.8,0.05632,0.543,3.7248583680000005
1365889753495,121.8,0.05632,0.543,3.7248583680000005
1365889753543,121.8,0.05632,0.543,3.7248583680000005
1365889753603,121.8,0.05679,0.545,3.7697769900000004
1365889753649,121.8,0.05679,0.545,3.7697769900000004
1365889753695,121.8,0.05679,0.545,3.7697769900000004
1365889753740,121.8,0.05679,0.545,3.7697769900000004
1365889753804,121.8,0.05676,0.543,3.7539588239999997
1365889753850,121.8,0.05676,0.543,3.7539588239999997
1365889753896,121.8,0.05676,0.543,3.7539588239999997
1365889753941,121.8,0.05676,0.543,3.7539588239999997
1365889754004,121.8,0.05679,0.542,3.7490259240000006
1365889754049,121.8,0.05679,0.542,3.7490259240000006
1365889754096,121.8,0.05679,0.542,3.7490259240000006
1365889754141,121.8,0.05679,0.542,3.7490259240000006
1365889754203,121.8,0.056740000000000006,0.542,3.7457251440000006
1365889754250,121.8,0.056740000000000006,0.542,3.7457251440000006
1365889754295,121.8,0.056740000000000006,0.542,3.7457251440000006
1365889754341,121.8,0.056740000000000006,0.542,3.7457251440000006
1365889754403,121.8,0.05682,0.543,3.7579270680000003
1365889754449,121.8,0.05682,0.543,3.7579270680000003
1365889754494,121.8,0.05682,0.543,3.7579270680000003
1365889754540,121.8,0.05682,0.543,3.7579270680000003
1365889754603,121.8,0.05658,0.547,3.7696198680000004
1365889754649,121.8,0.05658,0.547,3.7696198680000004
1365889754694,121.8,0.05658,0.547,3.7696198680000004
1365889754741,121.8,0.05658,0.547,3.7696198680000004
1365889754804,121.8,0.05658,0.543,3.742054092
1365889754850,121.8,0.05658,0.543,3.742054092
1365889754896,121.8,0.05658,0.543,3.742054092
1365889754949,121.8,0.05658,0.543,3.742054092
1365889755003,121.8,0.05686,0.545,3.7744236600000005
1365889755048,121.8,0.05686,0.545,3.7744236600000005
1365889755093,121.8,0.05686,0.545,3.7744236600000005
1365889755140,121.8,0.05686,0.545,3.7744236600000005
1365889755209,121.8,0.056659999999999995,0.543,3.747345084
1365889755254,121.8,0.056659999999999995,0.543,3.747345084
1365889755300,121.8,0.056659999999999995,0.543,3.747345084
1365889755345,121.8,0.056659999999999995,0.543,3.747345084
1365889755402,121.7,0.05669,0.545,3.7600492850000005
1365889755449,121.7,0.05669,0.545,3.7600492850000005
1365889755494,121.7,0.05669,0.545,3.7600492850000005
1365889755541,121.7,0.05669,0.545,3.7600492850000005
1365889755603,121.8,0.05553,0.548,3.7064275920000003
1365889755649,121.8,0.05553,0.548,3.7064275920000003
1365889755695,121.8,0.05553,0.548,3.7064275920000003
1365889755741,121.8,0.05553,0.548,3.7064275920000003
1365889755803,121.7,0.055600000000000004,0.551,3.7283525200000005
1365889755849,121.7,0.055600000000000004,0.551,3.7283525200000005
1365889755895,121.7,0.055600000000000004,0.551,3.7283525200000005
1365889755941,121.7,0.055600000000000004,0.551,3.7283525200000005
1365889756003,121.7,0.0549,0.549,3.6680501700000003
1365889756049,121.7,0.0549,0.549,3.6680501700000003
1365889756095,121.7,0.0549,0.549,3.6680501700000003
1365889756142,121.7,0.0549,0.549,3.6680501700000003
1365889756202,121.7,0.05536,0.545,3.6718350400000004
1365889756249,121.7,0.05536,0.545,3.6718350400000004
1365889756294,121.7,0.05536,0.545,3.6718350400000004
1365889756339,121.7,0.05536,0.545,3.6718350400000004
1365889756403,121.8,0.055700000000000006,0.543,3.6838531800000007
1365889756448,121.8,0.055700000000000006,0.543,3.6838531800000007
1365889756494,121.8,0.055700000000000006,0.543,3.6838531800000007
1365889756540,121.8,0.055700000000000006,0.543,3.6838531800000007
1365889756609,121.8,0.06382,0.539,4.189795764
1365889756655,121.8,0.06382,0.539,4.189795764
1365889756701,121.8,0.06382,0.539,4.189795764
1365889756746,121.8,0.06382,0.539,4.189795764
1365889756802,121.8,0.05894,0.542,3.890959464
1365889756849,121.8,0.05894,0.542,3.890959464
1365889756894,121.8,0.05894,0.542,3.890959464
1365889756939,121.8,0.05894,0.542,3.890959464
1365889757003,121.7,0.05659,0.546,3.7603036380000003
1365889757050,121.7,0.05659,0.546,3.7603036380000003
1365889757095,121.7,0.05659,0.546,3.7603036380000003
1365889757141,121.7,0.05659,0.546,3.7603036380000003
1365889757203,121.7,0.05482,0.546,3.642690324
1365889757249,121.7,0.05482,0.546,3.642690324
1365889757295,121.7,0.05482,0.546,3.642690324
1365889757341,121.7,0.05482,0.546,3.642690324
1365889757402,121.7,0.05578,0.547,3.7132690220000004
1365889757448,121.7,0.05578,0.547,3.7132690220000004
1365889757493,121.7,0.05578,0.547,3.7132690220000004
1365889757540,121.7,0.05578,0.547,3.7132690220000004
1365889757604,121.8,0.05662,0.545,3.75849222
1365889757649,121.8,0.05662,0.545,3.75849222
1365889757695,121.8,0.05662,0.545,3.75849222
1365889757740,121.8,0.05662,0.545,3.75849222
1365889757803,121.8,0.05575,0.547,3.7143214500000004
1365889757848,121.8,0.05575,0.547,3.7143214500000004
1365889757894,121.8,0.05575,0.547,3.7143214500000004
1365889757939,121.8,0.05575,0.547,3.7143214500000004
1365889758003,121.8,0.05521,0.544,3.6581704320000004
1365889758049,121.8,0.05521,0.544,3.6581704320000004
1365889758093,121.8,0.05521,0.544,3.6581704320000004
1365889758138,121.8,0.05521,0.544,3.6581704320000004
1365889758202,121.8,0.05547,0.542,3.661885332
1365889758248,121.8,0.05547,0.542,3.661885332
1365889758294,121.8,0.05547,0.542,3.661885332
1365889758341,121.8,0.05547,0.542,3.661885332
1365889758402,121.8,0.056350000000000004,0.542,3.7199790600000004
1365889758448,121.8,0.056350000000000004,0.542,3.7199790600000004
1365889758493,121.8,0.056350000000000004,0.542,3.7199790600000004
1365889758539,121.8,0.056350000000000004,0.542,3.7199790600000004
1365889758603,121.8,0.055420000000000004,0.543,3.6653347080000005
1365889758648,121.8,0.055420000000000004,0.543,3.6653347080000005
1365889758693,121.8,0.055420000000000004,0.543,3.6653347080000005
1365889758737,121.8,0.055420000000000004,0.543,3.6653347080000005
1365889758803,121.8,0.055909999999999994,0.54,3.6773125199999996
1365889758848,121.8,0.055909999999999994,0.54,3.6773125199999996
1365889758893,121.8,0.055909999999999994,0.54,3.6773125199999996
1365889758938,121.8,0.055909999999999994,0.54,3.6773125199999996
1365889759002,121.8,0.05508,0.545,3.65626548
1365889759048,121.8,0.05508,0.545,3.65626548
1365889759092,121.8,0.05508,0.545,3.65626548
1365889759137,121.8,0.05508,0.545,3.65626548
1365889759202,121.8,0.05603,0.543,3.7056785220000004
1365889759247,121.8,0.05603,0.543,3.7056785220000004
1365889759293,121.8,0.05603,0.543,3.7056785220000004
1365889759338,121.8,0.05603,0.543,3.7056785220000004
1365889759402,121.8,0.05572,0.544,3.6919626240000003
1365889759448,121.8,0.05572,0.544,3.6919626240000003
1365889759494,121.8,0.05572,0.544,3.6919626240000003
1365889759539,121.8,0.05572,0.544,3.6919626240000003
1365889759603,121.8,0.05541,0.543,3.664673334
1365889759649,121.8,0.05541,0.543,3.664673334
1365889759695,121.8,0.05541,0.543,3.664673334
