time_stamp,volt,curr,pf,mul
1365889753932,123.4,0.07388,0.483,4.403410536
1365889753977,123.4,0.07514,0.486,4.506326135999999
1365889754023,123.4,0.07514,0.486,4.506326135999999
1365889754068,123.4,0.07514,0.486,4.506326135999999
1365889754113,123.4,0.07514,0.486,4.506326135999999
1365889754161,123.4,0.07381,0.487,4.435670998
1365889754206,123.4,0.07381,0.487,4.435670998
1365889754251,123.4,0.07381,0.487,4.435670998
1365889754297,123.4,0.07381,0.487,4.435670998
1365889754362,123.4,0.07701999999999999,0.486,4.6190742479999995
1365889754407,123.4,0.07701999999999999,0.486,4.6190742479999995
1365889754452,123.4,0.07701999999999999,0.486,4.6190742479999995
1365889754497,123.4,0.07701999999999999,0.486,4.6190742479999995
1365889754562,123.4,0.07675,0.487,4.61235265
1365889754607,123.4,0.07675,0.487,4.61235265
1365889754652,123.4,0.07675,0.487,4.61235265
1365889754699,123.4,0.07675,0.487,4.61235265
1365889754762,123.4,0.07703,0.484,4.600662968
1365889754807,123.4,0.07703,0.484,4.600662968
1365889754852,123.4,0.07703,0.484,4.600662968
1365889754897,123.4,0.07703,0.484,4.600662968
1365889754963,123.4,0.07709,0.485,4.61375941
1365889755008,123.4,0.07709,0.485,4.61375941
1365889755053,123.4,0.07709,0.485,4.61375941
1365889755098,123.4,0.07709,0.485,4.61375941
1365889755162,123.4,0.07814,0.486,4.686243336
1365889755207,123.4,0.07814,0.486,4.686243336
1365889755252,123.4,0.07814,0.486,4.686243336
1365889755299,123.4,0.07814,0.486,4.686243336
1365889755363,123.4,0.07787000000000001,0.482,4.631614156
1365889755408,123.4,0.07787000000000001,0.482,4.631614156
1365889755453,123.4,0.07787000000000001,0.482,4.631614156
1365889755498,123.4,0.07787000000000001,0.482,4.631614156
1365889755563,123.4,0.08022,0.481,4.761490188
1365889755608,123.4,0.08022,0.481,4.761490188
1365889755653,123.4,0.08022,0.481,4.761490188
1365889755698,123.4,0.08022,0.481,4.761490188
