time_stamp,volt,curr,pf,mul
1574649814982,122.3,0.04808,0.445,2.61668188
1574649815028,122.3,0.04808,0.445,2.61668188
1574649815073,122.3,0.04808,0.445,2.61668188
1574649815117,122.3,0.04808,0.445,2.61668188
1574649815163,122.3,0.050460000000000005,0.447,2.758552326
1574649815209,122.3,0.050460000000000005,0.447,2.758552326
1574649815255,122.3,0.050460000000000005,0.447,2.758552326
1574649815301,122.3,0.050460000000000005,0.447,2.758552326
1574649815364,122.3,0.05049,0.448,2.7663672960000003
1574649815410,122.3,0.05049,0.448,2.7663672960000003
1574649815456,122.3,0.05049,0.448,2.7663672960000003
1574649815502,122.3,0.05049,0.448,2.7663672960000003
1574649815564,122.3,0.0506,0.447,2.76620586
1574649815610,122.3,0.0506,0.447,2.76620586
1574649815656,122.3,0.0506,0.447,2.76620586
1574649815702,122.3,0.0506,0.447,2.76620586
1574649815763,122.3,0.05044,0.448,2.763627776
1574649815809,122.3,0.05044,0.448,2.763627776
1574649815854,122.3,0.05044,0.448,2.763627776
1574649815900,122.3,0.05044,0.448,2.763627776
1574649815963,122.3,0.05051,0.448,2.767463104
1574649816010,122.3,0.05051,0.448,2.767463104
1574649816056,122.3,0.05051,0.448,2.767463104
1574649816102,122.3,0.05051,0.448,2.767463104
1574649816164,122.3,0.0505,0.448,2.7669152
1574649816210,122.3,0.0505,0.448,2.7669152
1574649816256,122.3,0.0505,0.448,2.7669152
1574649816302,122.3,0.0505,0.448,2.7669152
1574649816364,122.3,0.05042,0.448,2.7625319680000002
1574649816410,122.3,0.05042,0.448,2.7625319680000002
1574649816456,122.3,0.05042,0.448,2.7625319680000002
1574649816502,122.3,0.05042,0.448,2.7625319680000002
1574649816564,122.3,0.05051,0.447,2.7612857309999996
1574649816610,122.3,0.05051,0.447,2.7612857309999996
1574649816656,122.3,0.05051,0.447,2.7612857309999996
1574649816702,122.3,0.05051,0.447,2.7612857309999996
1574649816763,122.3,0.05072,0.446,2.766562976
1574649816809,122.3,0.05072,0.446,2.766562976
1574649816855,122.3,0.05072,0.446,2.766562976
1574649816900,122.3,0.05072,0.446,2.766562976
1574649816964,122.3,0.05062,0.447,2.7672992219999997
1574649817010,122.3,0.05062,0.447,2.7672992219999997
1574649817056,122.3,0.05062,0.447,2.7672992219999997
1574649817101,122.3,0.05062,0.447,2.7672992219999997
1574649817164,122.3,0.05065,0.447,2.768939265
1574649817210,122.3,0.05065,0.447,2.768939265
1574649817256,122.3,0.05065,0.447,2.768939265
1574649817302,122.3,0.05065,0.447,2.768939265
1574649817364,122.3,0.05484000000000001,0.451,3.0248263320000004
1574649817410,122.3,0.05484000000000001,0.451,3.0248263320000004
1574649817456,122.3,0.05484000000000001,0.451,3.0248263320000004
1574649817502,122.3,0.05484000000000001,0.451,3.0248263320000004
1574649817563,122.3,0.0551,0.454,3.05938342
1574649817609,122.3,0.0551,0.454,3.05938342
1574649817655,122.3,0.0551,0.454,3.05938342
1574649817701,122.3,0.0551,0.454,3.05938342
1574649817763,122.3,0.05819,0.457,3.252303109
1574649817809,122.3,0.05819,0.457,3.252303109
1574649817855,122.3,0.05819,0.457,3.252303109
1574649817901,122.3,0.05819,0.457,3.252303109
1574649817964,122.3,0.06173,0.462,3.487905498
1574649818010,122.3,0.06173,0.462,3.487905498
1574649818056,122.3,0.06173,0.462,3.487905498
